jp,text,alt
ファイター,Боец,
ダークファイター,Тёмный боец,
ウォリアー,Воин,
ソルジャー,Солдат,
ナイト,Рыцарь,
シルバーナイト,Серебряный рыцарь,
ブレイブナイト,Отважный рыцарь,
ナイトマスター,Мастер-рыцарь,
ロイヤルガード,Королевский гвардеец,
ロイヤルランサー,Королевский копейщик,
ヘビーランサー,Тяжёлый копейщик,
ランサー,Копейщик,
ドラグーン,Драгун,
パラディン,Паладин,
ダークパラディン,Тёмный паладин,
ジェネラル,Генерал,
マーシャル,Маршал,
エンペラー,Император,
グラディエーター,Гладиатор,
バトルマスター,Мастер боя,
ソードマスター,Мастер меча,
ハイマスター,Верховный мастер,
ホークナイト,Соколиный рыцарь,
ホークロード,Соколиный лорд,
スカイアーチャー,Небесный лучник,
ペガサスナイト,Рыцарь Пегаса,
ペガサスロード,Лорд Пегаса,
サーペンナイト,Змеиный рыцарь,
サーペンマスター,Мастер змей,
サーペンロード,Лорд змей,
ドラゴンナイト,Драконий рыцарь,
ドラゴンマスター,Мастер драконов,
ドラゴンロード,Лорд драконов,
デスロード,Лорд смерти,
ロードリザード,Лорд ящеров,
マーマンロード,Лорд водяных,
キャプテン,Капитан,
パイレーツ,Пират,
ウォーロック,Колдун,
女,Женщина,
男,Мужчина,
アルラウネ,Альрауна,
シーフ,Вор,
ローグ,Плут,
アサシン,Ассасин,
レンジャー,Следопыт,
スナイパー,Снайпер,
バリスタ,Баллиста,
クレリック,Клирик,
プリースト,Жрец,
ハイプリースト,Верховный жрец,
セイント,Святой,
ダークセイント,Тёмный святой,
エクソシスト,Экзорцист,
モンク,Монах,
ハーミット,Отшельник,
シャーマン,Шаман,
メイジ,Маг,
ウィザード,Волшебник,
ダークウィザード,Тёмный волшебник,
アークメイジ,Архимаг,
ソーサラー,Чародей,
サモナー,Призыватель,
ダークサモナー,Тёмный призыватель,
ウィッチ,Ведьма,
ヴァルキリー,Валькирия,
セラフィム,Серафим,
アークエンジェル,Архангел,
プリンセス,Принцесса,
ダークプリンセス,Тёмная принцесса,
クイーン,Королева,
メイド,Горничная,
メイド長,Старшая горничная,
シビリアン,Мирный житель,
アルバイト,Работник,
ビルダー,Строитель,
クルセイダー,Крестоносец,
エキュイユ,Оруженосец,
ダークエキュイユ,Тёмный оруженосец,
ファランクス,Фаланга,
グレナディーア,Гренадер,
エルフ,Эльф,
ハイエルフ,Высший эльф,
ダークエルフ,Тёмный эльф,
ダークガード,Тёмный страж,
ダークマスター,Тёмный мастер,
ヒーラー,Целитель,
ダークヒーラー,Тёмный целитель,
ゾンビファイター,Зомби-боец,
マスターゾンビ,Мастер-зомби,
バンディッド,Бандит,
ウルフマン,Волколак,
ワーベア,Оборотень-медведь,
リザードマン,Ящеролюд,
マーマン,Водяной,
ダークマーマン,Тёмный водяной,
ニクシー,Никса,
ダークニクシー,Тёмная никса,
ケットシー,Кат-ши,
ピクシー,Пикси,
グレムリン,Гремлин,
ガーゴイル,Горгулья,
ハーピー,Гарпия,
ラミア,Ламия,
メデューサ,Медуза,
スキュラ,Сцилла,
スフィンクス,Сфинкс,
ケンタウロス,Кентавр,
ミノタウロス,Минотавр,
オーガー,Огр,
トロール,Тролль,
ジャイアント,Гигант,
ストーンゴーレム,Каменный голем,
ブロンズゴーレム,Бронзовый голем,
アイアンゴーレム,Железный голем,
ミスリルゴーレム,Мифриловый голем,
マッドゴーレム,Глиняный голем,
ボーンゴーレム,Костяной голем,
リビングアーマー,Живые доспехи,
スケルトン,Скелет,
スペクター,Спектр,
シェード,Тень,
レイス,Призрак,
ホーント,Привидение,
ナイトメア,Кошмар,
バンパイア,Вампир,
リリス,Лилит,
サキュバス,Суккуб,
インキュバス,Инкуб,
レッサーデーモン,Малый демон,
アークデーモン,Архидемон,
ベールゼブブ,Вельзевул,
ケルベロス,Цербер,
オルトロス,Ортр,
フェンリル,Фенрир,
スレイプニル,Слейпнир,
ヒポグリフ,Гиппогриф,
ワイバーン,Виверна,
ファイアドラゴン,Огненный дракон,
ファイアー,Огонь,
スノードラゴン,Снежный дракон,
ホーリードラゴン,Святой дракон,
カオスドラゴン,Дракон хаоса,
グレートドラゴン,Великий дракон,
シーサーペント,Морской змей,
シーウォーム,Морской червь,
クロウラー,Ползун,
スパイダー,Паук,
スコーピオン,Скорпион,
ポイズントード,Ядовитая жаба,
コカトリス,Кокатрис,
キラータイガー,Тигр-убийца,
サーベルタイガー,Саблезубый тигр,
フェニックス,Феникс,
ジン,Джинн,
ゲル,Слизь,
ブラックゲル,Чёрная слизь,
ゲルギャザー,Сборщик слизи,
スーパーギャザー,Суперсборщик,
グロブ,Гроув,
ラルヴァ,Личинка,
レギオン,Легион,
ガーディアン,Страж,
アバタール,Аватар,
トランスポーター,Транспортёр,
モンスター,Монстр,
クリムゾンナイツ,Кримзонианские рыцари,К. рыцари
Cナイツ,Кримзонианские рыцари,К. рыцари
オロチ,Ороти,
ハーピー,Гарпия,
ナイフ,Нож,
クリス,Крис,
マインゴーシュ,Мэн-гош,
ショートボウ,Короткий лук,
ロングボウ,Длинный лук,
エルブン・ボウ,Эльфийский лук,
長距離弓,Дальнобойный лук,
ロングソード,Длинный меч,
グレートソード,Большой меч,
ミスリルソード,Мифриловый меч,
メサイヤンソード,Меч Мессии,
アイスブレード,Ледяной клинок,
エクスカリバー,Экскалибур,
グラディウス,Гладиус,
グラム,Грам,
バトルアックス,Боевой топор,
デビルアックス,Дьявольский топор,
ルーンアックス,Рунный топор,
ミスリルアックス,Мифриловый топор,
手斧,Топорик,
フレイル,Кистень,
モーニングスター,Моргенштерн,
パイク,Пика,
ランス,Копьё,
フレイムランス,Огненное копьё,
ブラッディランス,Кровавое копьё,
ミスリルランス,Мифриловое копьё,
竜騎士の騎槍,Пика драгуна,
フォースハンマー,Силовой молот,
ミョッルニル,Мьёльнир,
スタッフ,Посох,
ワンド,Жезл,
ウィザードロッド,Жезл волшебника,
クリスタルロッド,Хрустальный жезл,
奇跡の杖,Посох чудес,
生命の杖,Посох жизни,
灼熱の杖,Пылающий посох,
